iri,english_label,czech_label,english_definition,czech_definition,parent_iri,datacite_iri
http://purl.org/coar/resource_type/c_18cf,text,text,"A resource consisting primarily of words for reading. Examples include books, letters, dissertations, poems, newspapers, articles, archives of mailing lists. Note that facsimiles or images of texts are still of the genre Text. [Source: http://purl.org/dc/dcmitype/Text]",,,http://purl.org/spar/datacite/Text
http://purl.org/coar/resource_type/c_18wq,other type of report,jiná zpráva,"Other types of report may include Business Plans Technical Specifications, data management plans, recommendation reports, white papers, annual reports, auditor's reports, workplace reports, census reports, trip reports, progress reports, investigative reports, budget reports, policy reports, demographic reports, credit reports, appraisal reports, inspection reports, military reports, bound reports, etc. [Source: https://en.wikipedia.org/wiki/Report]",,,http://purl.org/spar/datacite/Report
http://purl.org/coar/resource_type/542X-3S04,design,,"Plans, drawing or set of drawings showing how something e.g. building, product is to be made and how it will work and look. [Source: Adapted from https://dictionary.cambridge.org/dictionary/english/design]",, ,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/c_18ww,internal report,interní zpráva,An internal report is a record of findings collected for internal use. It is not designed to be made public and may include confidential or proprietary information.,,,http://purl.org/spar/datacite/Report
http://purl.org/coar/resource_type/c_18hj,report to funding agency,zpráva pro poskytovatele podpory,A report to a funding agency is a document written by beneficiaries of project grants. The reporting documents can be e.g. periodic reports about progress of scientific and technical work and final report. For deliverables use ‘Project deliverable’. [Source: http://ec.europa.eu/research/participants/fp7documents/funding-guide/6_projects/reports/reports_en.htm ],,,http://purl.org/spar/datacite/Report
http://purl.org/coar/resource_type/c_1843,other,ostatní,A resource type that is not included in existing terms. [COAR definition],,,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/c_3e5a,contribution to journal,příspěvek v časopisu,A contribution to a journal denotes a work published in a journal. If applicable sub-terms should be chosen.,,,http://purl.org/spar/datacite/JournalArticle
http://purl.org/coar/resource_type/S7R1-K5P0,physical sample,,"Physical samples include biological specimens, rock or mineral specimens, soil or sediment cores, plants and seeds, water quality samples, archaeological artefacts, or DNA and human tissue samples. Samples may be used in analyses and can be destroyed in this process, whereas specimens are preserved curated objects that can be continuously studied.
Source: 23 Things Physical Samples https://eprints.gla.ac.uk/309016/1/309016.pdf",,,http://purl.org/spar/datacite/PhysicalObject
http://purl.org/coar/resource_type/c_e9a0,interactive resource,interaktivní zdroj,"A resource requiring interaction from the user to be understood, executed, or experienced. Examples include forms on Web pages, applets, multimedia learning objects, chat services, or virtual reality environments.
Source: http://purl.org/dc/dcmitype/InteractiveResource",,,http://purl.org/spar/datacite/InteractiveResource
http://purl.org/coar/resource_type/FF4C-28RK,observational data,,"Data resulting from observational research, which involves collecting observations as they occur (for example, observing behaviors, events, development of condition or disease, etc.), without attempting to manipulate any of the independent variables. [Source:  Adapted from https://ddialliance.org/Specification/DDI-CV/ModeOfCollection_3.0.html]",,,http://purl.org/spar/datacite/Dataset
http://purl.org/coar/resource_type/c_ddb1,dataset,datová sada,A collection of related facts and data encoded in a defined structure. [Source: Adapted from http://purl.org/spar/fabio/Dataset],,,http://purl.org/spar/datacite/Dataset
http://purl.org/coar/resource_type/F8RT-TJK0,artistic work,,"A work of visual arts and performing arts, including musical works; dramatic works; pantomimes and choreographic works; motion picture and other audiovisual works; pictorial, graphic, sculptural and architectural works. Adapted from Law Insider: https://www.lawinsider.com/dictionary/artistic-works",, ,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/H6QP-SC1X,trademark,,"A sign used to distinguish the goods or services of one undertaking from those
of others. A trademark may consist of words and combinations of words (for
instance, names or slogans), logos, figures and images, letters, numbers,
sounds, or, in rare instances, smells or moving images, or a combination thereof. [Source: https://www.wipo.int/trademarks/en]",,,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/c_5ce6,software,software,A computer program in source code (text) or compiled form. [Source: http://purl.org/dc/dcmitype/Software],,,http://purl.org/spar/datacite/Software
http://purl.org/coar/resource_type/RMP5-3GQ6,collection,,"An aggregation of resources, which may encompass collections of one resourceType as well as those of mixed types. A collection is described as a group; its parts may also be separately described. https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#collection",,,http://purl.org/spar/datacite/Collection
http://purl.org/coar/resource_type/c_12cc,cartographic material,kartografický dokument,"Any material representing the whole or part of the earth or any celestial body at any scale. Cartographic materials include two- and three-dimensional maps and plans (including maps of imaginary places); aeronautical, navigational, and celestial charts; atlases; globes; block diagrams; sections; aerial photographs with a cartographic purpose; bird's-eye views (map views), etc. [Source: http://www.loc.gov/marc/cfmap.html]",,,http://purl.org/spar/datacite/Image
http://purl.org/coar/resource_type/c_2659,periodical,periodikum,"A periodical is a serial publication with its own distinctive title, characterized by a variety of contents and contributors, and issued at regular intervals. (Adapted from ODLIS) [Source: http://www.abc-clio.com/ODLIS/odlis_p.aspx]",,,http://purl.org/spar/datacite/Journal
http://purl.org/coar/resource_type/GSZA-Y7V7,knowledge organization system,,"All types of schemes for organizing information and promoting knowledge management. Knowledge organization systems include classification schemes that organize materials at a general level (such as books on a shelf), subject headings that provide more detailed access, and authority files that control variant versions of key information (such as geographic names and personal names). They also include less-traditional schemes, such as semantic artifacts, semantic networks and ontologies. https://www.clir.org/pubs/reports/pub91/1knowledge/",,,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/c_e059,learning object,,"A digital resource that can be reused to enhance teaching and learning.
Source https://icas-ca.org/archive/projects/coerc/oer-glossary/",,,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/c_26e4,interview,,"A discussion between a reporter, host, panel, or audience and a newsmaker, author, or celebrity, recorded (edited or unedited) in print, on film or video, as transcript or as a sound recording. (Adapted from ODLIS)",,,http://purl.org/spar/datacite/Sound
http://purl.org/coar/resource_type/c_15cd,patent,patent,"A set of exclusive rights granted by law to applicants for inventions that are
new, non-obvious and commercially applicable. A patent is valid for a limited
period (generally 20 years), during which time patent holders can commercially
exploit their inventions on an exclusive basis. [Source: https://www.wipo.int/edocs/pubdocs/en/wipo_pub_943_2018.pdf]",,,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/c_ba1f,report part,,part of a report,,,,
http://purl.org/coar/resource_type/c_393c,workflow,pracovní postup,"A recorded sequence of connected steps, which may be automated, specifying a reliably repeatable sequence of operations to be undertaken when conducting a particular job, for example an in silico investigation that extracts and processes information from a number of bioinformatics databases. [Source: Adapted from https://sparontologies.github.io/fabio/current/fabio.html#d4e6123]",,,http://purl.org/spar/datacite/Workflow
http://purl.org/coar/resource_type/8KJG-QS0Y,research instrument,,"A device, tool or apparatus used to obtain, measure and/or analyze data. Source https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#instrument",, ,http://purl.org/spar/datacite/Instrument
http://purl.org/coar/resource_type/CQMR-7K63,recorded data,,"Data registered by mechanical or electronic means, in a form that allows the information to be retrieved and/or reproduced. For example, images or sounds on disc or magnetic tape. [Source: Adapted from https://ddialliance.org/Specification/DDI-CV/ModeOfCollection_3.0.html]",,,http://purl.org/spar/datacite/Dataset
http://purl.org/coar/resource_type/M9MY-SXFS,Testcoll,,,,,http://purl.org/spar/datacite/Other
http://purl.org/coar/resource_type/EHVM-H119,research data,,"Data that are used as primary sources to support technical or scientific enquiry, research, scholarship, or artistic activity, and that are used as evidence in the research process and/or are commonly accepted in the research community as necessary to validate research findings and results. [Source: https://casrai.org/term/research-data]",,,http://purl.org/spar/datacite/Dataset

